HxnumCS	0.243353
Insurance	0.202664
prelaborCD	0.171062
uscar	0.15498
CS_UScar	0.155291
Education	0.151225
DMControl	0.149773
Hxcsection	0.148517
Hostype	0.133381
Hxanemia	0.123824
HospElectCS	0.116195
Anteanemia	0.100519
Anteprevia	0.094418
momrace_new	0.094804
Anteabruption	0.089667
Antesteroid	0.088287
Admreason	0.088533
Antefetdistress	0.080423
CS_Elect	0.07669
high_BMI	0.070265
Preeclampsia	0.066603
Diabetes	0.063369
PostHBP	0.063578
pre_diab	0.062744
Marital	0.057855
Hxdepression	0.054182
Antebleed3	0.054453
HospElectInd	0.055341
CS_Fetmac	0.053353
Ind_HTN	0.051193
high_Age	0.05228
depression_comb	0.050839
CS_Fetanom	0.048008
high_Gravidity	0.04636
CS_HTNdis	0.04601
Hxpreterm	0.045489
ThreatenedPB	0.046609
AnteCHBP	0.042833
Hxasthma	0.042144
Anteasthma	0.042159
AnteLGA	0.043491
Antehospital	0.042543
GestHBP	0.04229
CS_Mult	0.041853
Hyp_beta	0.040674
Parity	0.041132
Ind_elect	0.040102
UnspecHBP	0.039286
Hxmacrosomia	0.039557
Antethyroid	0.038853
pre_PROM	0.036625
MthInd_PGE2	0.036093
high_height	0.03592
gest_diab	0.031778
Hxseizure	0.031967
Alcohol	0.028357
no_TD	0.026265
AnteSGA	0.02342
Hxthyroid	0.022499
Rhincompat	0.022764
TD_nos	0.015037
MthInd_Mec	0.006018
